Calcimycin,Benzoxazoles
Vaginal Smears,"Diagnostic Techniques, Obstetrical and Gynecological"
Vaginal Diseases,Vaginitis
Vagotomy,Parasympathectomy
Vagotomy,"Vagotomy, Proximal Gastric"
Vagus Nerve,Autonomic Pathways
Parasympathetic Nervous System,Vagus Nerve
Vagus Nerve,Cranial Nerves
"Acids, Acyclic",Valerates
Valerates,"Fatty Acids, Volatile"
Valerianaceae,Valerian
Valine,"Amino Acids, Branched-Chain"
"Amino Acids, Essential",Valine
Valinomycin,Depsipeptides
Pentanoic Acids,Valproic Acid
Valsalva Maneuver,Heart Function Tests
Respiratory Function Tests,Valsalva Maneuver
Valsalva Maneuver,Hemodynamics
Respiratory Physiological Phenomena,Valsalva Maneuver
Valine-tRNA Ligase,Amino Acyl-tRNA Synthetases
Anions,Vanadates
Vanadates,Vanadium Compounds
"Metals, Heavy",Vanadium
Vanadium,Transition Elements
Glycopeptides,Vancomycin
Vanillic Acid,Hydroxybenzoate Ethers
Mandelic Acids,Vanilmandelic Acid
"Variant Surface Glycoproteins, Trypanosoma",Membrane Glycoproteins
"Antigens, Protozoan","Variant Surface Glycoproteins, Trypanosoma"
"Variant Surface Glycoproteins, Trypanosoma","Antigens, Surface"
Genetic Phenomena,Genetic Variation
"Herpesvirus 3, Human",Varicellovirus
"Genital Diseases, Male",Varicocele
Varicocele,Vascular Diseases
Varicose Veins,Varicose Ulcer
Varicose Ulcer,Leg Ulcer
Vascular Diseases,Varicose Veins
Vas Deferens,"Genitalia, Male"
Blood Vessels,Vasa Nervorum
Vasa Vasorum,Blood Vessels
Cardiovascular Diseases,Vascular Diseases
Vascular Headaches,Cerebrovascular Disorders
"Headache Disorders, Secondary",Vascular Headaches
Vascular Patency,Cardiovascular Physiological Phenomena
Hemodynamics,Vascular Resistance
Vascular Surgical Procedures,Cardiovascular Surgical Procedures
Vascular Diseases,Vasculitis
Vasectomy,"Sterilization, Reproductive"
"Urologic Surgical Procedures, Male",Vasectomy
Vasoactive Intestinal Peptide,Gastrointestinal Hormones
Peptide Hormones,Vasoactive Intestinal Peptide
Vasoactive Intestinal Peptide,Neuropeptides
Hemodynamics,Vasoconstriction
Vasoconstrictor Agents,Cardiovascular Agents
Vasoconstrictor Agents,Nasal Decongestants
Nasal Decongestants,Respiratory System Agents
Hemodynamics,Vasodilation
Vasodilator Agents,Cardiovascular Agents
Sympathetic Nervous System,Vasomotor System
Vasopressins,"Pituitary Hormones, Posterior"
Neuropeptides,Vasopressins
Vasopressins,Oligopeptides
"Pituitary Hormones, Posterior",Vasotocin
Vasovasostomy,"Anastomosis, Surgical"
Sterilization Reversal,Vasovasostomy
Vasovasostomy,"Urologic Surgical Procedures, Male"
Common Bile Duct,Ampulla of Vater
Ampulla of Vater,Duodenum
Pancreatic Ducts,Ampulla of Vater
Vatican City,Europe
Electrocardiography,Vectorcardiography
Vecuronium Bromide,Androstanols
Dietary Proteins,"Plant Proteins, Dietary"
"Plant Proteins, Dietary",Plant Proteins
"Crops, Agricultural",Vegetables
Vegetables,"Plants, Edible"
Food,Vegetables
"Diet, Vegetarian",Diet Therapy
Diet,"Diet, Vegetarian"
Pharmaceutical Vehicles,Pharmaceutic Aids
Drug Delivery Systems,Pharmaceutical Vehicles
Veillonella,Veillonellaceae
Blood Vessels,Veins
Velopharyngeal Insufficiency,Mouth Abnormalities
Pharyngeal Diseases,Velopharyngeal Insufficiency
"Vena Cava, Inferior",Venae Cavae
Venae Cavae,"Vena Cava, Superior"
Venae Cavae,Veins
Urogenital Neoplasms,"Venereal Tumors, Veterinary"
"Venereal Tumors, Veterinary",Animal Diseases
Medicine,Venereology
Venezuela,South America
Bodily Secretions,Venoms
Venoms,Complex Mixtures
"Toxins, Biological",Venoms
Venous Insufficiency,Vascular Diseases
Blood Pressure,Venous Pressure
Ventilation,"Environment, Controlled"
Pulmonary Gas Exchange,Ventilation-Perfusion Ratio
Ventilation-Perfusion Ratio,Respiratory Physiological Phenomena
"Arrhythmias, Cardiac",Ventricular Fibrillation
Ventricular Outflow Obstruction,Heart Diseases
Neuroradiography,Cerebral Ventriculography
Ventriculostomy,Cerebrospinal Fluid Shunts
"Hypothalamus, Middle",Ventromedial Hypothalamic Nucleus
Venturicidins,Lactones
Microvessels,Venules
Venules,Veins
Phenethylamines,Verapamil
Veratridine,Cevanes
Cevanes,Veratrine
Veratrum,Melanthiaceae
Alkaloids,Veratrum Alkaloids
Verbal Behavior,Communication
Learning,Verbal Learning
Vermont,New England
Bodily Secretions,Vernix Caseosa
Vernix Caseosa,Fetus
Cell Line,Vero Cells
Vero Cells,Epithelial Cells
"Delivery, Obstetric","Version, Fetal"
Vertebral Artery,Arteries
Viruses,"Viruses, Unclassified"
Vertebrates,Chordata
Brain Ischemia,Vertebrobasilar Insufficiency
Vertical Dimension,"Dental Occlusion, Centric"
Vestibular Diseases,Vertigo
Vertigo,Neurologic Manifestations
Urinary Bladder Diseases,Vesico-Ureteral Reflux
Vesicovaginal Fistula,Vaginal Fistula
Urinary Bladder Fistula,Vesicovaginal Fistula
Vesicular Exanthema of Swine,Caliciviridae Infections
Swine Diseases,Vesicular Exanthema of Swine
Vesicular stomatitis Indiana virus,Vesiculovirus
"Ear, Inner","Vestibule, Labyrinth"
Vestibular Aqueduct,"Vestibule, Labyrinth"
"Diagnostic Techniques, Otological",Vestibular Function Tests
Vestibular Nerve,Vestibulocochlear Nerve
Pons,Vestibular Nuclei
Vestibuloplasty,"Oral Surgical Procedures, Preprosthetic"
Persons,Veterans
Veterans Disability Claims,"Financing, Government"
Health Occupations,Veterinary Medicine
"Veterinary Service, Military",Veterinary Medicine
Mechanical Phenomena,Vibration
Vibrio,Vibrionaceae
Vibrio,Vibrio cholerae
Vibrio Infections,Gram-Negative Bacterial Infections
Vibrio,Vibrio parahaemolyticus
Vibrionaceae,Gram-Negative Facultatively Anaerobic Rods
Gammaproteobacteria,Vibrionaceae
Vibrissae,Animal Structures
Australia,Victoria
Vidarabine,Adenosine
Arabinonucleosides,Vidarabine
Video Recording,Copying Processes
Optical Storage Devices,Videodisc Recording
Videodisc Recording,Television
Video Recording,Videodisc Recording
Videotape Recording,Tape Recording
Television,Videotape Recording
Videotape Recording,Video Recording
"Asia, Southeastern",Vietnam
Viloxazine,Morpholines
Intermediate Filament Proteins,Vimentin
Vinblastine,Vinca Alkaloids
Secologanin Tryptamine Alkaloids,Vinca Alkaloids
Vincamine,Vinca Alkaloids
Vinca Alkaloids,Vincristine
Vindesine,Vinca Alkaloids
Vinyl Compounds,Vinyl Chloride
Vinyl Chloride,"Hydrocarbons, Chlorinated"
Alkenes,Vinyl Compounds
Violence,Crime
Social Problems,Violence
Viologens,Pyridinium Compounds
"Peptides, Cyclic",Viomycin
Viper Venoms,Snake Venoms
Nucleocapsid Proteins,Viral Core Proteins
Viral Envelope Proteins,Viral Structural Proteins
Membrane Fusion Proteins,Viral Fusion Proteins
Viral Fusion Proteins,Viral Envelope Proteins
Viral Vaccines,Viral Hepatitis Vaccines
Viral Interference,Virus Physiological Phenomena
Viral Envelope Proteins,Viral Matrix Proteins
Viral Proteins,Proteins
Vaccines,Viral Vaccines
Viremia,Virus Diseases
Sepsis,Viremia
United States Virgin Islands,West Indies
Appalachian Region,Virginia
Virginia,Southeastern United States
Streptogramins,Virginiamycin
Virilism,Signs and Symptoms
Viral Structures,Virion
Virion,Viruses
Viruses,Viroids
Virology,Microbiology
Microbiological Phenomena,Virulence
Virus Activation,Virus Replication
Microbiological Techniques,Virus Cultivation
Virus Replication,Virus Physiological Phenomena
Body Regions,Viscera
Visceral Prolapse,Gastrointestinal Diseases
Pelvic Organ Prolapse,Visceral Prolapse
Viscosity,Chemical Phenomena
Magnoliopsida,Mistletoe
"Vision, Ocular",Sensation
Light Signal Transduction,"Vision, Ocular"
"Vision, Ocular",Ocular Physiological Phenomena
Sensation Disorders,Vision Disorders
Vision Disorders,Eye Diseases
"Diagnostic Techniques, Ophthalmological",Vision Tests
"Vision, Entoptic","Vision, Ocular"
Persons,Visitors to Patients
Visna-maedi virus,"Lentiviruses, Ovine-Caprine"
Vision Tests,Visual Acuity
Visual Acuity,Visual Perception
Ocular Physiological Phenomena,Visual Acuity
Visual Cortex,Occipital Lobe
Sensorimotor Cortex,Visual Cortex
Visual Fields,Visual Perception
Ocular Physiological Phenomena,Visual Fields
Visual Pathways,Afferent Pathways
Perception,Visual Perception
Vital Capacity,Total Lung Capacity
Data Collection,Vital Statistics
Vital Statistics,Demography
Philosophy,Vitalism
Vitallium,Chromium Alloys
Retinoids,Vitamin A
Vitamin A Deficiency,Avitaminosis
Vitamins,Vitamin B Complex
Vitamin B Deficiency,Avitaminosis
Corrinoids,Vitamin B 12
Vitamin B 12 Deficiency,Vitamin B Deficiency
Secosteroids,Vitamin D
Vitamin D Deficiency,Avitaminosis
Carrier Proteins,Vitamin D-Binding Protein
Vitamin E,Benzopyrans
Avitaminosis,Vitamin E Deficiency
Vitamin K,Naphthoquinones
Phytol,Vitamin K
Vitamin K Deficiency,Blood Coagulation Disorders
Hemorrhagic Disorders,Vitamin K Deficiency
Vitamin K Deficiency,Avitaminosis
Methionine,Vitamin U
Vitamins,Micronutrients
Embryonic Structures,Vitelline Duct
Vitelline Membrane,Ovum
Oogenesis,Vitellogenesis
Vitellogenins,Insect Proteins
Vitellins,Vitellogenins
Vitellogenins,Phosphoproteins
Hypopigmentation,Vitiligo
Vitrectomy,Ophthalmologic Surgical Procedures
Posterior Eye Segment,Vitreous Body
Vitreous Hemorrhage,Eye Hemorrhage
Animal Experimentation,Vivisection
Vocabulary,Linguistics
Laryngeal Diseases,Vocal Cord Paralysis
Vocal Cord Paralysis,Vagus Nerve Diseases
Paralysis,Vocal Cord Paralysis
Vocal Cords,Glottis
Animal Communication,"Vocalization, Animal"
Vocational Education,"Education, Nonprofessional"
"Psychology, Educational",Vocational Guidance
Vocational Guidance,"Psychology, Industrial"
Respiratory Physiological Phenomena,Voice
Voice Disorders,Laryngeal Diseases
Neurologic Manifestations,Voice Disorders
Voice Quality,Voice
Rehabilitation of Speech and Language Disorders,Voice Training
Volatilization,Phase Transition
Mental Processes,Volition
Voluntary Health Agencies,"Organizations, Nonprofit"
Persons,Volunteers
Vomiting,"Signs and Symptoms, Digestive"
Vomiting,"Vomiting, Anticipatory"
von Willebrand Factor,Blood Coagulation Factors
"Blood Coagulation Disorders, Inherited",von Willebrand Diseases
von Willebrand Diseases,Coagulation Protein Disorders
Blood Platelet Disorders,von Willebrand Diseases
von Willebrand Diseases,Hemorrhagic Disorders
Paraphilic Disorders,Voyeurism
Vulva,"Genitalia, Female"
"Genital Diseases, Female",Vulvar Diseases
Vulvar Neoplasms,"Genital Neoplasms, Female"
Vulvar Diseases,Vulvar Neoplasms
Vulvitis,Vulvar Diseases
Vaginitis,Vulvovaginitis
Vulvovaginitis,Vulvitis
"Abnormalities, Multiple",Waardenburg Syndrome
Waiting Lists,Appointments and Schedules
Arousal,Wakefulness
Wales,United Kingdom
Orthopedic Equipment,Walkers
Lateral Medullary Syndrome,Brain Stem Infarctions
Nerve Degeneration,Wallerian Degeneration
Walruses,Caniformia
Warfare and Armed Conflicts,Warfare
War Crimes,Crime
Warfare,War Crimes
Warfarin,4-Hydroxycoumarins
Papillomavirus Infections,Warts
Warts,"Skin Diseases, Viral"
Tumor Virus Infections,Warts
Washington,Northwestern United States
Pacific States,Washington
Wasp Venoms,Arthropod Venoms
Hymenoptera,Wasps
"Waste Disposal, Fluid",Sanitary Engineering
Refuse Disposal,"Waste Disposal, Fluid"
Waste Products,Complex Mixtures
Environmental Pollution,Waste Products
Water,Hydroxides
Oxides,Water
Water Deprivation,Motivation
Water-Electrolyte Imbalance,Water Intoxication
Water Intoxication,Poisoning
Water-Electrolyte Balance,"Water Loss, Insensible"
Water Microbiology,Environmental Microbiology
Ecological and Environmental Phenomena,Water Movements
Water Movements,Renewable Energy
Environment,Water Movements
Water Pollutants,Environmental Pollutants
Water Pollutants,"Water Pollutants, Chemical"
"Water Pollutants, Radioactive",Radioactive Pollutants
Water Pollutants,"Water Pollutants, Radioactive"
Water Pollution,Environmental Pollution
Water Pollution,"Water Pollution, Chemical"
"Water Pollution, Radioactive",Water Pollution
Radiologic Health,"Water Pollution, Radioactive"
Water Softening,Sanitary Engineering
Sanitary Engineering,Water Supply
Water-Electrolyte Balance,Osmoregulation
Metabolic Diseases,Water-Electrolyte Imbalance
Waterhouse-Friderichsen Syndrome,"Meningitis, Meningococcal"
Purpura,Waterhouse-Friderichsen Syndrome
Waterhouse-Friderichsen Syndrome,Hemorrhagic Disorders
Adrenal Insufficiency,Waterhouse-Friderichsen Syndrome
Waxes,Lipids
Infant Nutritional Physiological Phenomena,Weaning
Weaning,Nutritional Physiological Phenomena
Atmosphere,Weather
Weather,Meteorological Concepts
Intelligence Tests,Wechsler Scales
Granulomatosis with Polyangiitis,"Lung Diseases, Interstitial"
Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,Granulomatosis with Polyangiitis
Weight Lifting,Sports
Perception,Weight Perception
Weightlessness,Hypogravity
Investigative Techniques,Weights and Measures
Weil Disease,Leptospirosis
Metallurgy,Welding
Spinal Muscular Atrophies of Childhood,"Muscular Atrophy, Spinal"
"Heredodegenerative Disorders, Nervous System",Spinal Muscular Atrophies of Childhood
Werner Syndrome,"Genetic Diseases, Inborn"
DNA Repair-Deficiency Disorders,Werner Syndrome
Wernicke Encephalopathy,"Brain Diseases, Metabolic"
Thiamine Deficiency,Wernicke Encephalopathy
Wernicke Encephalopathy,Alcohol-Related Disorders
Caribbean Region,West Indies
West Indies,Islands
"Encephalitis, Arbovirus",West Nile Fever
West Nile Fever,Flavivirus Infections
"Encephalitis Viruses, Japanese",West Nile virus
West Virginia,Appalachian Region
Southeastern United States,West Virginia
Western Australia,Australia
Samoa,Independent State of Samoa
Wetting Agents,Surface-Active Agents
Cetacea,Whales
Triticum,Poaceae
Plant Lectins,Wheat Germ Agglutinins
Wheelchairs,Self-Help Devices
Neck Injuries,Whiplash Injuries
White Muscle Disease,"Muscular Dystrophy, Animal"
Blood Coagulation Tests,Whole Blood Coagulation Time
Whole Blood Coagulation Time,Blood Physiological Phenomena
Radiometry,Whole-Body Counting
Whole-Body Irradiation,Radiotherapy
Investigative Techniques,Whole-Body Irradiation
Whooping Cough,Bordetella Infections
Respiratory Tract Infections,Whooping Cough
Wills,Jurisprudence
Air Movements,Wind
Wind,Weather
Renewable Energy,Wind
Wine,Alcoholic Beverages
Fermented Foods,Wine
"Wings, Animal",Forelimb
Great Lakes Region,Wisconsin
Wisconsin,Midwestern United States
"Blood Coagulation Disorders, Inherited",Wiskott-Aldrich Syndrome
Wiskott-Aldrich Syndrome,Hemorrhagic Disorders
Lymphopenia,Wiskott-Aldrich Syndrome
Wiskott-Aldrich Syndrome,"Genetic Diseases, X-Linked"
Rheumatic Fever,Wissler's Syndrome
Wissler's Syndrome,Hypersensitivity
Attitude,Wit and Humor as Topic
Wit and Humor as Topic,Literature
Pre-Excitation Syndromes,Wolff-Parkinson-White Syndrome
Wolff-Parkinson-White Syndrome,"Heart Defects, Congenital"
Embryonic Structures,Wolffian Ducts
Wolfram Syndrome,Deaf-Blind Disorders
"Optic Atrophies, Hereditary",Wolfram Syndrome
Wolfram Syndrome,Diabetes Insipidus
"Diabetes Mellitus, Type 1",Wolfram Syndrome
Women,Persons
Women,"Women, Working"
Women's Health Services,Health Services
Human Rights,Women's Rights
Wood,Xylem
Construction Materials,Wood
Wool,Animal Structures
Hair,Wool
Word Association Tests,Personality Tests
Human Activities,Work
Work Capacity Evaluation,Disability Evaluation
Respiratory Function Tests,Work of Breathing
Work of Breathing,Respiratory Physiological Phenomena
Personnel Staffing and Scheduling,Work Schedule Tolerance
Work Simplification,Task Performance and Analysis
"Financing, Government",Workers' Compensation
Workers' Compensation,"Insurance, Disability"
Medicine,Global Health
Global Health,Health
United Nations,World Health Organization
Wound Healing,Regeneration
Infection,Wound Infection
"Wounds, Gunshot","Wounds, Penetrating"
Wounds and Injuries,"Wounds, Nonpenetrating"
"Wounds, Penetrating",Wounds and Injuries
"Wounds, Penetrating","Wounds, Stab"
Wrestling,Sports
Hand,Wrist
Wrist Injuries,Arm Injuries
Hand Joints,Wrist Joint
Writing,Language Arts
Filarioidea,Wuchereria
Wuchereria bancrofti,Wuchereria
Northwestern United States,Wyoming
X Chromosome,Sex Chromosomes
Crystallography,X-Ray Diffraction
X-Ray Diffraction,"Scattering, Radiation"
Chemical Phenomena,X-Ray Diffraction
X-Ray Film,Equipment and Supplies
Equipment and Supplies,X-Ray Intensifying Screens
X-Ray Therapy,Radiotherapy
Electromagnetic Radiation,X-Rays
X-Rays,"Radiation, Ionizing"
"Heterocyclic Compounds, 3-Ring",Xanthenes
Xanthine Dehydrogenase,Alcohol Oxidoreductases
Alcohol Oxidoreductases,Xanthine Oxidase
Xanthines,Alkaloids
Purinones,Xanthines
Xanthinol Niacinate,Nicotinic Acids
Theophylline,Xanthinol Niacinate
"Xanthogranuloma, Juvenile","Histiocytosis, Non-Langerhans-Cell"
Skin Diseases,"Xanthogranuloma, Juvenile"
Xanthomatosis,Lipid Metabolism Disorders
Xanthomonadaceae,Xanthomonas
Lutein,Xanthophylls
Pterins,Xanthopterin
Xanthurenates,"Acids, Heterocyclic"
Noble Gases,Xenon
Xenon Isotopes,Xenon
Isotopes,Xenon Isotopes
Xenon Radioisotopes,Xenon Isotopes
Radioisotopes,Xenon Radioisotopes
Xenopus,Pipidae
Xenopus,Xenopus laevis
Xeroderma Pigmentosum,Precancerous Conditions
Skin Abnormalities,Xeroderma Pigmentosum
Xeroderma Pigmentosum,"Skin Diseases, Genetic"
Photosensitivity Disorders,Xeroderma Pigmentosum
Xeroderma Pigmentosum,Pigmentation Disorders
DNA Repair-Deficiency Disorders,Xeroderma Pigmentosum
Xeromammography,Mammography
Xeroradiography,Xeromammography
Xerophthalmia,Conjunctival Diseases
Dry Eye Syndromes,Xerophthalmia
Xeroradiography,Radiography
Salivary Gland Diseases,Xerostomia
Xipamide,Sulfonamides
Sternum,Xiphoid Bone
Xylans,Polysaccharides
Thiazines,Xylazine
Xylenes,Benzene Derivatives
Sugar Alcohols,Xylitol
Xylose,Pentoses
Glycoside Hydrolases,Xylosidases
Xylulose,Ketoses
Pentoses,Xylulose
XYY Karyotype,Abnormal Karyotype
Sex Chromosome Aberrations,XYY Karyotype
Y Chromosome,Sex Chromosomes
Yatapoxvirus,Yaba monkey tumor virus
Yawning,Respiratory Physiological Phenomena
Treponemal Infections,Yaws
Yaws,"Skin Diseases, Bacterial"
Dietary Supplements,"Yeast, Dried"
Yeasts,Fungi
Arbovirus Infections,Yellow Fever
Yellow Fever,Flavivirus Infections
